"Name","Team","Season","GP","TOI","W","L","OL","ROW","Points","Points%","GF","GA","G±","Sh%","Sv%"
"Flyers","PHI","19-20",69,4205.6,41,21,7,36,89,64.5,232,196,36,10.5,90.3
"Oilers","EDM","20-21",56,3369.1,35,19,2,35,72,64.3,183,154,29,10.9,91
"Ducks","ANA","16-17",82,4979.8,46,23,13,43,105,64,223,200,23,9.1,91.9
"Capitals","WSH","17-18",82,4975.1,49,26,7,46,105,64,259,239,20,10.8,90.9
"Maple Leafs","TOR","17-18",82,4988.1,49,26,7,42,105,64,277,232,45,10.2,91.7
"Oilers","EDM","23-24",82,4969.1,49,27,6,47,104,63.4,294,237,57,10.6,89.8
"Predators","NSH","11-12",82,4982.7,48,26,8,43,104,63.4,237,210,27,10.3,91.9
"Predators","NSH","14-15",82,5010.1,47,25,10,41,104,63.4,232,208,24,8.6,91.3
"Penguins","PIT","15-16",82,4984.7,48,26,8,44,104,63.4,245,203,42,8.9,91.8
"Capitals","WSH","18-19",82,4977.8,48,26,8,44,104,63.4,278,249,29,11,90.4
"Islanders","NYI","20-21",56,3417.7,32,17,7,28,71,63.4,156,128,28,9.4,92.1
"Oilers","EDM","21-22",82,4979.2,49,27,6,44,104,63.4,290,252,38,10.2,90.5
"Kings","L.A","22-23",82,4989.3,47,25,10,41,104,63.4,280,257,23,10.3,88.9
"Flyers","PHI","11-12",82,5002,47,26,9,43,103,62.8,264,232,32,9.8,90.3
"Blackhawks","CHI","15-16",82,4972.6,47,26,9,46,103,62.8,235,209,26,9.4,91.8
"Ducks","ANA","15-16",82,4977,46,25,11,43,103,62.8,218,192,26,8.7,91.7
"Panthers","FLA","15-16",82,4986.2,47,26,9,40,103,62.8,239,203,36,9.8,91.7
"Canadiens","MTL","16-17",82,4987.4,47,26,9,44,103,62.8,226,200,26,9.1,91.8
"Oilers","EDM","16-17",82,4991.1,47,26,9,43,103,62.8,247,212,35,9.5,91.4
"Islanders","NYI","18-19",82,4983.2,48,27,7,43,103,62.8,228,196,32,9.4,92.5
"Penguins","PIT","21-22",82,4992.6,46,25,11,43,103,62.8,272,229,43,9.4,91.4
"Wild","MIN","22-23",82,5018.5,46,25,11,39,103,62.8,246,225,21,9.4,91.4
"Blues","STL","12-13",48,2919.8,29,17,2,24,60,62.5,129,115,14,9.3,90.2
"Penguins","PIT","19-20",69,4194,40,23,6,37,86,62.3,224,196,28,10,90.4
"Bruins","BOS","11-12",82,4988.9,49,29,4,40,102,62.2,269,202,67,9.8,91.8
"Red Wings","DET","11-12",82,4999.3,48,28,6,39,102,62.2,248,203,45,9.1,91
"Devils","N.J","11-12",82,5013.5,48,28,6,36,102,62.2,228,209,19,9.6,90.7
"Blackhawks","CHI","14-15",82,4994.2,48,28,6,39,102,62.2,229,189,40,7.9,92.5
"Kings","L.A","15-16",82,4984.6,48,28,6,46,102,62.2,225,195,30,8.5,91.5
"Rangers","NYR","16-17",82,4974.2,48,28,6,45,102,62.2,256,220,36,10.4,91.2
"Maple Leafs","TOR","23-24",82,4995.9,46,26,10,41,102,62.2,303,263,40,11.2,89.3
"Blackhawks","CHI","11-12",82,5016.2,45,26,11,38,101,61.6,248,238,10,9.3,90.1
"Lightning","T.B","13-14",82,5013.1,46,27,9,38,101,61.6,240,215,25,9.5,91.3
"Canucks","VAN","14-15",82,4979.8,48,29,5,42,101,61.6,242,222,20,9.6,91
"Capitals","WSH","14-15",82,5001.9,45,26,11,40,101,61.6,242,203,39,9.8,91.6
"Islanders","NYI","14-15",82,5007.9,47,28,7,40,101,61.6,252,230,22,8.9,90.3
"Rangers","NYR","15-16",82,4974.5,46,27,9,43,101,61.6,236,217,19,10,91.4
"Wild","MIN","17-18",82,4978.9,45,26,11,42,101,61.6,253,232,21,10.1,91.1
"Ducks","ANA","17-18",82,5002.3,44,25,13,40,101,61.6,235,216,19,9.3,92.3
"Sharks","S.J","18-19",82,4962.1,46,27,9,46,101,61.6,289,261,28,10.7,88.9
"Kings","L.A","12-13",48,2917.2,27,16,5,25,59,61.5,133,118,15,9.2,90.5
"Canucks","VAN","12-13",48,2943.7,26,15,7,21,59,61.5,127,121,6,9,91.7
"Canadiens","MTL","13-14",82,4991.6,46,28,8,40,100,61,215,204,11,9,92.1
"Kings","L.A","13-14",82,5001.5,46,28,8,38,100,61,206,174,32,7.6,92.2
"Wild","MIN","14-15",82,4973.5,46,28,8,42,100,61,231,201,30,9,91.3
"Red Wings","DET","14-15",82,5017.6,43,25,14,39,100,61,235,221,14,9.5,90.9
"Islanders","NYI","15-16",82,5005,45,27,10,40,100,61,232,216,16,9.4,91.5
"Penguins","PIT","17-18",82,4966.3,47,29,6,45,100,61,272,250,22,9.6,90.3
"Sharks","S.J","17-18",82,4985.4,45,27,10,40,100,61,252,229,23,9.1,90.9
"Maple Leafs","TOR","18-19",82,4958.2,46,28,8,46,100,61,286,251,35,10.4,90.8
"Predators","NSH","18-19",82,4967.4,47,29,6,43,100,61,240,214,26,8.8,91.4
"Penguins","PIT","18-19",82,4981.5,44,26,12,42,100,61,273,241,32,9.9,91.3
"Capitals","WSH","21-22",82,4991.8,44,26,12,39,100,61,275,245,30,10.5,89.8
"Kraken","SEA","22-23",82,4965.6,46,28,8,46,100,61,289,256,33,11.6,88.6
"Golden Knights","VGK","19-20",71,4313.8,39,24,8,36,86,60.6,227,211,16,9.1,90
"Senators","OTT","14-15",82,5026.4,43,26,13,37,99,60.4,238,215,23,9.1,92.1
"Jets","WPG","14-15",82,5009.8,43,26,13,36,99,60.4,230,210,20,9.1,91.3
"Blues","STL","16-17",82,4964.6,46,29,7,44,99,60.4,235,218,17,10,90.7
"Sharks","S.J","16-17",82,4955.9,46,29,7,44,99,60.4,221,201,20,8.9,91.2
"Jets","WPG","18-19",82,4966.7,47,30,5,45,99,60.4,272,244,28,10.6,91.1
"Hurricanes","CAR","18-19",82,4957.9,46,29,7,44,99,60.4,245,223,22,8.6,90.6
"Blues","STL","18-19",82,4981,45,28,9,42,99,60.4,247,223,24,9.4,90.6
"Kings","L.A","21-22",82,4992.2,44,27,11,40,99,60.4,239,236,3,8.2,90.1
"Predators","NSH","23-24",82,4952.4,47,30,5,44,99,60.4,269,248,21,10.1,90.1
"Kings","L.A","23-24",82,4976.3,44,27,11,42,99,60.4,256,215,41,9.7,90.9
"Wild","MIN","13-14",82,5020,43,27,12,35,98,59.8,207,206,1,9.1,91.3
"Penguins","PIT","14-15",82,5001.6,43,27,12,39,98,59.8,221,210,11,8.4,91.5
"Sharks","S.J","15-16",82,4975.9,46,30,6,42,98,59.8,241,210,31,9.5,90.8
"Senators","OTT","16-17",82,4994,44,28,10,38,98,59.8,212,214,-2,8.4,91.5
"Kings","L.A","17-18",82,4982.5,45,29,8,43,98,59.8,239,203,36,9.3,92
"Flyers","PHI","17-18",82,4996.9,42,26,14,40,98,59.8,251,243,8,9.5,90.4
"Blue Jackets","CBJ","18-19",82,4953.4,47,31,4,45,98,59.8,258,232,26,9.9,90.4
"Stars","DAL","21-22",82,4990.8,46,30,6,41,98,59.8,238,246,-8,9.4,90.4
"Lightning","T.B","22-23",82,4966.1,46,30,6,43,98,59.8,283,254,29,10.7,90.2
"Lightning","T.B","23-24",82,4962.7,45,29,8,42,98,59.8,291,268,23,12,89
"Golden Knights","VGK","23-24",82,4975.2,45,29,8,41,98,59.8,267,245,22,10.3,90.2
"Hurricanes","CAR","19-20",68,4129,38,25,5,33,81,59.6,222,193,29,9.6,90.3
"Maple Leafs","TOR","12-13",48,2911.2,26,17,5,26,57,59.4,145,133,12,11.5,91.7
"Capitals","WSH","12-13",48,2909.5,27,18,3,24,57,59.4,149,130,19,10.8,91.6
"Sharks","S.J","12-13",48,2948.3,25,16,7,17,57,59.4,124,116,8,7.6,91.9
"Stars","DAL","19-20",69,4191.8,37,24,8,35,82,59.4,180,177,3,8.4,92
"Coyotes","ARI","11-12",82,5012,42,27,13,36,97,59.1,216,204,12,8.6,92.5
"Flames","CGY","14-15",82,4991,45,30,7,41,97,59.1,241,216,25,10.6,91.1
"Lightning","T.B","15-16",82,4966.7,46,31,5,43,97,59.1,227,201,26,9.3,91.6
"Blue Jackets","CBJ","17-18",82,4995.4,45,30,7,39,97,59.1,242,230,12,8.5,91.2
"Devils","N.J","17-18",82,4989.8,44,29,9,39,97,59.1,248,244,4,9.3,90.8
"Predators","NSH","21-22",82,4977.4,45,30,7,41,97,59.1,266,252,14,10.7,90.6
"Islanders","NYI","19-20",68,4146,35,23,10,32,80,58.8,192,193,-1,9.4,91.1
"Sharks","S.J","11-12",82,5018,43,29,10,34,96,58.5,228,210,18,7.9,91.3
"Rangers","NYR","13-14",82,4966.9,45,31,6,41,96,58.5,218,193,25,7.9,92.1
"Bruins","BOS","14-15",82,5025.3,41,27,14,37,96,58.5,213,211,2,8.2,91.8
"Flyers","PHI","15-16",82,5012.6,41,27,14,38,96,58.5,214,218,-4,8.3,91.7
"Predators","NSH","15-16",82,4980.2,41,27,14,37,96,58.5,228,215,13,8.9,90.5
"Panthers","FLA","17-18",82,4972.5,44,30,8,41,96,58.5,248,246,2,8.7,91.4
"Canadiens","MTL","18-19",82,4957.7,44,30,8,41,96,58.5,249,236,13,8.8,90.7
"Oilers","EDM","19-20",71,4300.1,37,25,9,35,83,58.5,225,217,8,10.6,90.5
"Rangers","NYR","12-13",48,2927.2,26,18,4,22,56,58.3,130,112,18,8.5,92
"Red Wings","DET","12-13",48,2927.7,24,16,8,22,56,58.3,124,115,9,8.4,91.7
"Senators","OTT","12-13",48,2931.5,25,17,6,21,56,58.3,116,104,12,7.1,93.3
"Kings","L.A","11-12",82,5018.4,40,27,15,34,95,57.9,194,179,15,7.5,92.4
"Kings","L.A","14-15",82,4990.7,40,27,15,38,95,57.9,220,205,15,8.6,91.1
"Bruins","BOS","16-17",82,4964.1,44,31,7,42,95,57.9,234,212,22,8.5,90.5
"Maple Leafs","TOR","16-17",82,4991.7,40,27,15,39,95,57.9,251,242,9,9.6,91.2
"Avalanche","COL","17-18",82,4962.2,43,30,9,41,95,57.9,257,237,20,10.5,91.4
"Maple Leafs","TOR","19-20",70,4261.9,36,25,9,35,81,57.9,238,227,11,10.3,90.1
"Blue Jackets","CBJ","19-20",70,4261.8,33,22,15,33,81,57.9,180,187,-7,7.9,91.3
"Jets","WPG","22-23",82,4951.6,46,33,3,45,95,57.9,247,225,22,9.9,91
"Islanders","NYI","23-24",82,4983.1,39,27,16,38,94,57.3,246,263,-17,9.9,90.4
"Panthers","FLA","11-12",82,5025.8,38,26,18,32,94,57.3,203,227,-24,8.1,91.4
"Wild","MIN","12-13",48,2919.8,26,19,3,22,55,57.3,122,127,-5,8.5,90.4
"Islanders","NYI","12-13",48,2927.3,24,17,7,20,55,57.3,139,139,0,9.1,89.9
"Blue Jackets","CBJ","12-13",48,2949.9,24,17,7,19,55,57.3,120,119,1,9,92
"Flyers","PHI","13-14",82,4991.7,42,30,10,39,94,57.3,236,235,1,9.4,90.9
"Flames","CGY","16-17",82,4973.9,45,33,4,41,94,57.3,226,221,5,9.3,90.7
"Predators","NSH","16-17",82,4985.8,41,29,12,39,94,57.3,240,224,16,9.3,91.1
"Islanders","NYI","16-17",82,4978.6,41,29,12,39,94,57.3,241,242,-1,9.6,90.9
"Lightning","T.B","16-17",82,4988.1,42,30,10,38,94,57.3,234,227,7,9.4,91
"Blues","STL","17-18",82,4966.9,44,32,6,41,94,57.3,226,222,4,8.3,90.9
"Golden Knights","VGK","21-22",82,4979.8,43,31,8,39,94,57.3,266,248,18,9.3,90.1
"Predators","NSH","20-21",56,3406.8,31,23,2,26,64,57.1,156,154,2,9,91.2
"Blue Jackets","CBJ","13-14",82,4976.8,43,32,7,38,93,56.7,231,216,15,9.3,91.5
"Red Wings","DET","13-14",82,5026.5,39,28,15,34,93,56.7,222,230,-8,8.9,90.8
"Red Wings","DET","15-16",82,4992.9,41,30,11,39,93,56.7,211,224,-13,8.6,91
"Bruins","BOS","15-16",82,4978.5,42,31,9,38,93,56.7,240,230,10,9,90.9
"Stars","DAL","18-19",82,4962.6,43,32,7,42,93,56.7,210,202,8,8.3,92.3
"Golden Knights","VGK","18-19",82,4959.5,43,32,7,40,93,56.7,249,230,19,8.7,90.5
"Islanders","NYI","22-23",82,4973.2,42,31,9,41,93,56.7,243,222,21,9.6,91.5
"Flames","CGY","22-23",82,4998.6,38,27,17,36,93,56.7,260,252,8,8.7,89
"Panthers","FLA","19-20",69,4185.2,35,26,8,32,78,56.5,231,228,3,10.1,89.9
"Predators","NSH","19-20",69,4196,35,26,8,32,78,56.5,215,217,-2,9.3,90.1
"Canucks","VAN","19-20",69,4189.2,36,27,6,32,78,56.5,228,217,11,10.4,90.7
"Rangers","NYR","19-20",70,4225.4,37,28,5,36,79,56.4,234,222,12,10.7,90.8
"Flames","CGY","19-20",70,4268.6,36,27,7,30,79,56.4,210,215,-5,9.2,90.6
"Jets","WPG","19-20",71,4300.9,37,28,6,34,80,56.3,216,203,13,9.6,91.3
"Jets","WPG","20-21",56,3381.1,30,23,3,30,63,56.2,170,154,16,10.2,91.1
"Blues","STL","20-21",56,3415.5,27,20,9,25,63,56.2,169,170,-1,10.3,90
"Capitals","WSH","11-12",82,4985.8,42,32,8,38,92,56.1,222,230,-8,9.5,90.9
"Senators","OTT","11-12",82,4995.3,41,31,10,35,92,56.1,249,240,9,9.4,91
"Stars","DAL","14-15",82,4977.6,41,31,10,37,92,56.1,261,260,1,10,89.5
"Stars","DAL","17-18",82,4981.2,42,32,8,38,92,56.1,235,225,10,9,90.9
"Canucks","VAN","21-22",82,4983.9,40,30,12,37,92,56.1,249,236,13,9.4,91.2
"Panthers","FLA","22-23",82,4960.1,42,32,8,40,92,56.1,290,273,17,9.5,89.6
"Predators","NSH","22-23",82,4990.4,42,32,8,36,92,56.1,229,238,-9,9.2,91.4
"Blues","STL","23-24",82,4977.4,43,33,6,38,92,56.1,239,250,-11,9.9,90.6
"Wild","MIN","19-20",69,4180.4,35,27,7,33,77,55.8,220,220,0,10.5,89.7
"Stars","DAL","13-14",82,4991.3,40,31,11,36,91,55.5,235,228,7,8.9,91.1
"Panthers","FLA","14-15",82,5022.8,38,29,15,30,91,55.5,206,223,-17,7.9,91.2
"Penguins","PIT","22-23",82,4966.2,40,31,11,39,91,55.5,262,264,-2,9.3,90.2
"Sabres","BUF","22-23",82,4976.9,42,33,7,39,91,55.5,296,300,-4,11,89.1
"Capitals","WSH","23-24",82,4991.4,40,31,11,36,91,55.5,220,257,-37,10,89.9
"Red Wings","DET","23-24",82,4980.4,41,32,9,38,91,55.5,278,274,4,11.6,89.7
"Flames","CGY","11-12",82,5008.1,37,29,16,34,90,54.9,202,226,-24,8.8,91.4
"Capitals","WSH","13-14",82,5037.1,38,30,14,28,90,54.9,235,240,-5,9.3,91.7
"Avalanche","COL","14-15",82,5014.9,39,31,12,29,90,54.9,219,227,-8,9.1,91.8
"Avalanche","COL","18-19",82,4972.7,38,30,14,36,90,54.9,260,246,14,9.6,90.7
"Stars","DAL","11-12",82,4989,42,35,5,35,89,54.3,211,222,-11,8.8,91.4
"Sabres","BUF","11-12",82,5010.6,39,32,11,32,89,54.3,218,230,-12,8.8,91.3
"Coyotes","ARI","13-14",82,5016.4,37,30,15,31,89,54.3,216,231,-15,8.4,91.2
"Sharks","S.J","14-15",82,4981.6,40,33,9,36,89,54.3,228,232,-4,8.6,90.7
"Blue Jackets","CBJ","14-15",82,4998.1,42,35,5,33,89,54.3,236,250,-14,9.6,91
"Jets","WPG","21-22",82,4977.1,39,32,11,37,89,54.3,252,257,-5,9.5,90.7
"Avalanche","COL","11-12",82,5006.5,41,35,6,32,88,53.7,208,220,-12,7.7,91
"Predators","NSH","13-14",82,4989.9,38,32,12,36,88,53.7,216,242,-26,9,90.1
"Devils","N.J","13-14",82,5014.6,35,29,18,35,88,53.7,197,208,-11,9,90.7
"Senators","OTT","13-14",82,5008.7,37,31,14,30,88,53.7,236,265,-29,8.5,90.9
"Flyers","PHI","16-17",82,5007.7,39,33,10,32,88,53.7,219,236,-17,8.2,90.1
"Penguins","PIT","23-24",82,4971.5,38,32,12,36,88,53.7,255,251,4,9.4,90
"Rangers","NYR","20-21",56,3390.4,27,23,6,26,60,53.6,177,157,20,10.9,90.7
"Stars","DAL","20-21",56,3435.2,23,19,14,21,60,53.6,158,154,4,9.2,90.3
"Jets","WPG","12-13",48,2917.4,24,21,3,22,51,53.1,128,144,-16,9.1,90.1
"Coyotes","ARI","12-13",48,2945.2,21,18,9,17,51,53.1,125,131,-6,8.2,91.5
"Wild","MIN","23-24",82,4984.2,39,34,9,36,87,53,251,263,-12,10,89.3
"Flyers","PHI","23-24",82,4976.9,38,33,11,34,87,53,235,261,-26,8.5,88.4
"Wild","MIN","15-16",82,4978.5,38,33,11,35,87,53,216,206,10,9,91.3
"Jets","WPG","16-17",82,4964.8,40,35,7,37,87,53,249,256,-7,10,90
"Hurricanes","CAR","16-17",82,4993.1,36,31,15,33,87,53,215,236,-21,8.5,90.1
"Coyotes","ARI","19-20",70,4260.1,33,29,8,28,74,52.9,195,187,8,8.6,91.9
"Canadiens","MTL","20-21",56,3409.2,24,21,11,23,59,52.7,159,168,-9,9,89.6
"Hurricanes","CAR","15-16",82,5004.6,35,31,16,33,86,52.4,198,226,-28,8,90.2
"Kings","L.A","16-17",82,4978.5,39,35,8,37,86,52.4,201,205,-4,7.8,90.5
"Coyotes","ARI","18-19",82,4980.4,39,35,8,35,86,52.4,213,223,-10,8.3,91.3
"Panthers","FLA","18-19",82,4999.2,36,32,14,33,86,52.4,267,280,-13,9.8,89.2
"Senators","OTT","22-23",82,4965.3,39,35,8,37,86,52.4,261,271,-10,9.4,89.5
"Senators","OTT","15-16",82,5003.6,38,35,9,32,85,51.8,236,247,-11,9.9,91
"Flyers","PHI","20-21",56,3420.8,25,23,8,22,58,51.8,163,201,-38,9.5,88
"Blackhawks","CHI","19-20",70,4256,32,30,8,28,72,51.4,212,218,-6,9.3,91.3
"Sabres","BUF","23-24",82,4958.4,39,37,6,37,84,51.2,246,244,2,9.6,89.9
"Lightning","T.B","11-12",82,4991,38,36,8,35,84,51.2,235,281,-46,10.4,88.9
"Jets","WPG","11-12",82,4985.5,37,35,10,33,84,51.2,225,246,-21,8.9,90.2
"Jets","WPG","13-14",82,5013,37,35,10,29,84,51.2,227,237,-10,8.7,90.7
"Maple Leafs","TOR","13-14",82,5007.2,38,36,8,29,84,51.2,231,256,-25,9.7,91.4
"Flyers","PHI","14-15",82,5021.4,33,31,18,30,84,51.2,215,234,-19,8.8,91
"Devils","N.J","15-16",82,4991.3,38,36,8,36,84,51.2,184,208,-24,9.1,91.4
"Flames","CGY","17-18",82,4979.8,37,35,10,35,84,51.2,218,248,-30,7.8,90.5
"Blackhawks","CHI","18-19",82,4979.3,36,34,12,33,84,51.2,270,292,-22,10,89.8
"Islanders","NYI","21-22",82,4970.2,37,35,10,35,84,51.2,231,237,-6,9.7,91.3
"Flyers","PHI","12-13",48,2900.9,23,22,3,22,49,51,133,141,-8,9.5,89.9
"Hurricanes","CAR","13-14",82,4979.1,36,35,11,34,83,50.6,207,230,-23,8,91.1
"Canucks","VAN","13-14",82,5007.9,36,35,11,31,83,50.6,196,223,-27,7.6,90.7
"Hurricanes","CAR","17-18",82,4982,36,35,11,33,83,50.6,228,256,-28,8.1,89.3
"Wild","MIN","18-19",82,4968.1,37,36,9,36,83,50.6,211,237,-26,8.2,90.4
"Canucks","VAN","22-23",82,4991.8,38,37,7,32,83,50.6,276,298,-22,11.1,88.3
"Hurricanes","CAR","11-12",82,4988.7,33,33,16,32,82,50,213,243,-30,8.5,91.1
"Stars","DAL","12-13",48,2906.1,22,22,4,20,48,50,130,142,-12,10.2,90.5
"Devils","N.J","12-13",48,2937.8,19,19,10,17,48,50,112,129,-17,8.1,89
"Sabres","BUF","12-13",48,2946.1,21,21,6,14,48,50,125,143,-18,8.8,91.3
"Avalanche","COL","15-16",82,4958.5,39,39,4,35,82,50,216,240,-24,9,90.9
